epoch,train_acc,val_acc,train_loss,val_loss,avg_grad,GPU1_tot,GPU1_occ
0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.639,0.882,1.586,1.627,0.0054,25445,2
1,0.905,0.926,1.502,1.557,0.0038,25445,2
2,0.931,0.938,1.519,1.539,0.0039,25445,2
3,0.944,0.949,1.589,1.523,0.0026,25445,2
4,0.955,0.961,1.481,1.511,0.0021,25445,2
5,0.959,0.964,1.484,1.505,0.0049,25445,2
6,0.963,0.97,1.521,1.498,0.0012,25445,2
7,0.969,0.973,1.521,1.494,0.0009,25445,2
8,0.974,0.976,1.461,1.491,0.0,25445,2
9,0.976,0.978,1.527,1.489,0.0008,25445,2
10,0.978,0.981,1.471,1.485,0.0016,25445,2
11,0.98,0.983,1.462,1.483,0.0001,25445,2
12,0.982,0.984,1.465,1.481,0.0008,25445,2
13,0.983,0.985,1.461,1.48,0.0,25445,2
14,0.985,0.986,1.461,1.479,0.0,25445,2
15,0.986,0.988,1.462,1.477,0.0004,25445,2
16,0.987,0.989,1.462,1.476,0.0001,25445,2
17,0.988,0.99,1.48,1.475,0.0034,25445,2
18,0.989,0.99,1.582,1.474,0.0002,25445,2
19,0.991,0.992,1.485,1.472,0.0036,25445,2
20,0.991,0.992,1.47,1.471,0.0016,25445,2
21,0.992,0.993,1.463,1.471,0.0005,25445,2
22,0.993,0.994,1.465,1.47,0.0013,25445,2
23,0.994,0.994,1.461,1.47,0.0,25445,2
24,0.993,0.994,1.461,1.469,0.0,25445,2
25,0.994,0.995,1.461,1.468,0.0,25445,2
26,0.994,0.995,1.461,1.468,0.0,25445,2
27,0.994,0.995,1.463,1.468,0.0003,25445,2
28,0.995,0.995,1.465,1.467,0.001,25445,2
29,0.995,0.995,1.461,1.467,0.0,25445,2
30,0.995,0.995,1.462,1.467,0.0001,25445,2
31,0.995,0.995,1.462,1.468,0.0002,25445,2
32,0.995,0.994,1.461,1.469,0.0001,25445,2
33,0.995,0.995,1.461,1.467,0.0001,25445,2
34,0.995,0.995,1.461,1.467,0.0,25445,2
35,0.995,0.995,1.463,1.468,0.0005,25445,2
36,0.995,0.996,1.461,1.466,0.0,25445,2
37,0.996,0.996,1.461,1.466,0.0,25445,2
38,0.996,0.996,1.468,1.466,0.0029,25445,2
39,0.996,0.996,1.461,1.465,0.0,25445,2
40,0.996,0.993,1.461,1.47,0.0001,25445,2
41,0.996,0.996,1.461,1.465,0.0,25445,2
42,0.996,0.996,1.523,1.465,0.0003,25445,2
43,0.996,0.996,1.465,1.465,0.0008,25445,2
44,0.996,0.996,1.461,1.465,0.0,25445,2
45,0.996,0.996,1.461,1.465,0.0,25445,2
46,0.996,0.996,1.464,1.465,0.0013,25445,2
47,0.996,0.996,1.462,1.466,0.0004,25445,2
48,0.996,0.996,1.461,1.466,0.0,25445,2
49,0.996,0.995,1.461,1.467,0.0001,25445,2
50,0.996,0.996,1.519,1.465,0.0012,25445,2
51,0.996,0.996,1.461,1.466,0.0,25445,2
52,0.996,0.997,1.467,1.465,0.0013,25445,2
53,0.996,0.997,1.461,1.465,0.0,25445,2
54,0.996,0.997,1.461,1.464,0.0,25445,2
55,0.997,0.997,1.461,1.464,0.0,25445,2
56,0.997,0.997,1.461,1.464,0.0,25445,2
57,0.997,0.997,1.461,1.464,0.0,25445,2
58,0.997,0.997,1.461,1.464,0.0,25445,2
59,0.997,0.997,1.461,1.464,0.0,25445,2
60,0.997,0.997,1.461,1.464,0.0001,25445,2
61,0.997,0.994,1.461,1.468,0.0,25445,2
62,0.995,0.997,1.463,1.465,0.0009,25445,2
63,0.997,0.997,1.519,1.464,0.0005,25445,2
64,0.997,0.997,1.461,1.464,0.0,25445,2
65,0.997,0.997,1.461,1.464,0.0,25445,2
66,0.997,0.997,1.461,1.464,0.0,25445,2
67,0.997,0.997,1.464,1.464,0.0014,25445,2
68,0.997,0.997,1.461,1.464,0.0,25445,2
69,0.997,0.997,1.461,1.464,0.0,25445,2
70,0.997,0.997,1.461,1.464,0.0,25445,2
71,0.997,0.997,1.461,1.464,0.0,25445,2
72,0.997,0.997,1.461,1.464,0.0,25445,2
73,0.996,0.996,1.461,1.465,0.0,25445,2
74,0.996,0.997,1.461,1.464,0.0,25445,2
75,0.998,0.997,1.464,1.465,0.0013,25445,2
76,0.997,0.997,1.461,1.464,0.0,25445,2
77,0.997,0.997,1.461,1.464,0.0,25445,2
78,0.997,0.998,1.461,1.464,0.0001,25445,2
79,0.998,0.998,1.461,1.464,0.0,25445,2
80,0.998,0.998,1.461,1.464,0.0,25445,2
81,0.996,0.998,1.461,1.464,0.0,25445,2
82,0.998,0.998,1.461,1.464,0.0,25445,2
83,0.998,0.998,1.461,1.464,0.0,25445,2
84,0.998,0.998,1.461,1.464,0.0,25445,2
85,0.998,0.998,1.461,1.464,0.0,25445,2
86,0.998,0.998,1.461,1.464,0.0,25445,2
87,0.997,0.997,1.461,1.465,0.0,25445,2
88,0.997,0.997,1.525,1.465,0.0004,25445,2
89,0.997,0.997,1.462,1.464,0.0001,25445,2
90,0.998,0.998,1.461,1.463,0.0,25445,2
91,0.998,0.998,1.461,1.463,0.0,25445,2
92,0.998,0.998,1.461,1.463,0.0,25445,2
93,0.998,0.998,1.461,1.463,0.0,25445,2
94,0.998,0.998,1.461,1.463,0.0,25445,2
95,0.998,0.998,1.461,1.463,0.0,25445,2
96,0.998,0.998,1.461,1.463,0.0,25445,2
97,0.998,0.998,1.461,1.463,0.0,25445,2
98,0.998,0.998,1.461,1.463,0.0,25445,2
99,0.998,0.998,1.461,1.463,0.0,25445,2
0,0.639,0.882,1.586,1.627,0.0054,25445,2
1,0.905,0.926,1.502,1.557,0.0038,25445,2
2,0.931,0.938,1.519,1.539,0.0039,25445,2
3,0.944,0.949,1.589,1.523,0.0026,25445,2
4,0.955,0.961,1.481,1.511,0.0021,25445,2
5,0.959,0.964,1.484,1.505,0.0049,25445,2
6,0.963,0.97,1.521,1.498,0.0012,25445,2
7,0.969,0.973,1.521,1.494,0.0009,25445,2
8,0.974,0.976,1.461,1.491,0.0,25445,2
9,0.976,0.978,1.527,1.489,0.0008,25445,2
10,0.978,0.981,1.471,1.485,0.0016,25445,2
11,0.98,0.983,1.462,1.483,0.0001,25445,2
12,0.982,0.984,1.465,1.481,0.0008,25445,2
13,0.983,0.985,1.461,1.48,0.0,25445,2
14,0.985,0.986,1.461,1.479,0.0,25445,2
15,0.986,0.988,1.462,1.477,0.0004,25445,2
16,0.987,0.989,1.462,1.476,0.0001,25445,2
17,0.988,0.99,1.48,1.475,0.0034,25445,2
18,0.989,0.99,1.582,1.474,0.0002,25445,2
19,0.991,0.992,1.485,1.472,0.0036,25445,2
20,0.991,0.992,1.47,1.471,0.0016,25445,2
21,0.992,0.993,1.463,1.471,0.0005,25445,2
22,0.993,0.994,1.465,1.47,0.0013,25445,2
23,0.994,0.994,1.461,1.47,0.0,25445,2
24,0.993,0.994,1.461,1.469,0.0,25445,2
25,0.994,0.995,1.461,1.468,0.0,25445,2
26,0.994,0.995,1.461,1.468,0.0,25445,2
27,0.994,0.995,1.463,1.468,0.0003,25445,2
28,0.995,0.995,1.465,1.467,0.001,25445,2
29,0.995,0.995,1.461,1.467,0.0,25445,2
30,0.995,0.995,1.462,1.467,0.0001,25445,2
0,0.639,0.882,1.586,1.627,0.0054,25447,2
1,0.905,0.926,1.502,1.557,0.0038,25447,2
2,0.931,0.938,1.519,1.539,0.0039,25447,2
3,0.944,0.949,1.589,1.523,0.0026,25447,2
4,0.955,0.961,1.481,1.511,0.0021,25447,2
5,0.959,0.964,1.484,1.505,0.0049,25447,2
6,0.963,0.97,1.521,1.498,0.0012,25447,2
7,0.969,0.973,1.521,1.494,0.0009,25447,2
8,0.974,0.976,1.461,1.491,0.0,25447,2
9,0.976,0.978,1.527,1.489,0.0008,25447,2
10,0.978,0.981,1.471,1.485,0.0016,25447,2
11,0.98,0.983,1.462,1.483,0.0001,25447,2
12,0.982,0.984,1.465,1.481,0.0008,25447,2
13,0.983,0.985,1.461,1.48,0.0,25447,2
14,0.985,0.986,1.461,1.479,0.0,25447,2
15,0.986,0.988,1.462,1.477,0.0004,25447,2
16,0.987,0.989,1.462,1.476,0.0001,25447,2
17,0.988,0.99,1.48,1.475,0.0034,25447,2
18,0.989,0.99,1.582,1.474,0.0002,25447,2
0,0.639,0.882,1.586,1.627,0.0054,25447.0,2094
1,0.905,0.926,1.502,1.557,0.0038,25447.0,2094
2,0.931,0.938,1.519,1.539,0.0039,25447.0,2094
3,0.944,0.949,1.589,1.523,0.0026,25447.0,2094
4,0.955,0.961,1.481,1.511,0.0021,25447.0,2094
5,0.959,0.964,1.484,1.505,0.0049,25447.0,2094
6,0.963,0.97,1.521,1.498,0.0012,25447.0,2094
7,0.969,0.973,1.521,1.494,0.0009,25447.0,2094
8,0.974,0.976,1.461,1.491,0.0,25447.0,2094
9,0.976,0.978,1.527,1.489,0.0008,25447.0,2094
10,0.978,0.981,1.471,1.485,0.0016,25447.0,2094
11,0.98,0.983,1.462,1.483,0.0001,25447.0,2094
12,0.982,0.984,1.465,1.481,0.0008,25447.0,2094
0,0.639,0.882,1.586,1.627,0.0054,25447.0,2094
1,0.905,0.926,1.502,1.557,0.0038,25447.0,2094
2,0.931,0.938,1.519,1.539,0.0039,25447.0,2094
3,0.944,0.949,1.589,1.523,0.0026,25447.0,2094
4,0.955,0.961,1.481,1.511,0.0021,25447.0,2094
5,0.959,0.964,1.484,1.505,0.0049,25447.0,2094
6,0.963,0.97,1.521,1.498,0.0012,25447.0,2094
7,0.969,0.973,1.521,1.494,0.0009,25447.0,2094
8,0.974,0.976,1.461,1.491,0.0,25447.0,2094
9,0.976,0.978,1.527,1.489,0.0008,25447.0,2094
10,0.978,0.981,1.471,1.485,0.0016,25447.0,2094
11,0.98,0.983,1.462,1.483,0.0001,25447.0,2094
12,0.982,0.984,1.465,1.481,0.0008,25447.0,2094
13,0.983,0.985,1.461,1.48,0.0,25447.0,2094
14,0.985,0.986,1.461,1.479,0.0,25447.0,2094
15,0.986,0.988,1.462,1.477,0.0004,25447.0,2094
16,0.987,0.989,1.462,1.476,0.0001,25447.0,2094
17,0.988,0.99,1.48,1.475,0.0034,25447.0,2094
18,0.989,0.99,1.582,1.474,0.0002,25447.0,2094
19,0.991,0.992,1.485,1.472,0.0036,25447.0,2094
20,0.991,0.992,1.47,1.471,0.0016,25447.0,2094
21,0.992,0.993,1.463,1.471,0.0005,25447.0,2094
22,0.993,0.994,1.465,1.47,0.0013,25447.0,2094
23,0.994,0.994,1.461,1.47,0.0,25447.0,2094
24,0.993,0.994,1.461,1.469,0.0,25447.0,2094
25,0.994,0.995,1.461,1.468,0.0,25447.0,2094
26,0.994,0.995,1.461,1.468,0.0,25447.0,2094
27,0.994,0.995,1.463,1.468,0.0003,25447.0,2094
28,0.995,0.995,1.465,1.467,0.001,25447.0,2094
29,0.995,0.995,1.461,1.467,0.0,25447.0,2094
30,0.995,0.995,1.462,1.467,0.0001,25447.0,2094
31,0.995,0.995,1.462,1.468,0.0002,25447.0,2094
32,0.995,0.994,1.461,1.469,0.0001,25447.0,2094
33,0.995,0.995,1.461,1.467,0.0001,25447.0,2094
34,0.995,0.995,1.461,1.467,0.0,25447.0,2094
35,0.995,0.995,1.463,1.468,0.0005,25447.0,2094
36,0.995,0.996,1.461,1.466,0.0,25447.0,2094
37,0.996,0.996,1.461,1.466,0.0,25447.0,2094
38,0.996,0.996,1.468,1.466,0.0029,25447.0,2094
39,0.996,0.996,1.461,1.465,0.0,25447.0,2094
40,0.996,0.993,1.461,1.47,0.0001,25447.0,2094
41,0.996,0.996,1.461,1.465,0.0,25447.0,2094
42,0.996,0.996,1.523,1.465,0.0003,25447.0,2094
43,0.996,0.996,1.465,1.465,0.0008,25447.0,2094
44,0.996,0.996,1.461,1.465,0.0,25447.0,2094
45,0.996,0.996,1.461,1.465,0.0,25447.0,2094
46,0.996,0.996,1.464,1.465,0.0013,25447.0,2094
47,0.996,0.996,1.462,1.466,0.0004,25447.0,2094
48,0.996,0.996,1.461,1.466,0.0,25447.0,2094
49,0.996,0.995,1.461,1.467,0.0001,25447.0,2094
50,0.996,0.996,1.519,1.465,0.0012,25447.0,2094
51,0.996,0.996,1.461,1.466,0.0,25447.0,2094
52,0.996,0.997,1.467,1.465,0.0013,25447.0,2094
53,0.996,0.997,1.461,1.465,0.0,25447.0,2094
54,0.996,0.997,1.461,1.464,0.0,25447.0,2094
55,0.997,0.997,1.461,1.464,0.0,25447.0,2094
56,0.997,0.997,1.461,1.464,0.0,25447.0,2094
57,0.997,0.997,1.461,1.464,0.0,25447.0,2094
58,0.997,0.997,1.461,1.464,0.0,25447.0,2094
59,0.997,0.997,1.461,1.464,0.0,25447.0,2094
60,0.997,0.997,1.461,1.464,0.0001,25447.0,2094
61,0.997,0.994,1.461,1.468,0.0,25447.0,2094
62,0.995,0.997,1.463,1.465,0.0009,25447.0,2094
63,0.997,0.997,1.519,1.464,0.0005,25447.0,2094
64,0.997,0.997,1.461,1.464,0.0,25447.0,2094
65,0.997,0.997,1.461,1.464,0.0,25447.0,2094
66,0.997,0.997,1.461,1.464,0.0,25447.0,2094
67,0.997,0.997,1.464,1.464,0.0014,25447.0,2094
68,0.997,0.997,1.461,1.464,0.0,25447.0,2094
69,0.997,0.997,1.461,1.464,0.0,25447.0,2094
70,0.997,0.997,1.461,1.464,0.0,25447.0,2094
71,0.997,0.997,1.461,1.464,0.0,25447.0,2094
72,0.997,0.997,1.461,1.464,0.0,25447.0,2094
73,0.996,0.996,1.461,1.465,0.0,25447.0,2094
74,0.996,0.997,1.461,1.464,0.0,25447.0,2094
75,0.998,0.997,1.464,1.465,0.0013,25447.0,2094
76,0.997,0.997,1.461,1.464,0.0,25447.0,2094
77,0.997,0.997,1.461,1.464,0.0,25447.0,2094
78,0.997,0.998,1.461,1.464,0.0001,25447.0,2094
79,0.998,0.998,1.461,1.464,0.0,25447.0,2094
80,0.998,0.998,1.461,1.464,0.0,25447.0,2094
81,0.996,0.998,1.461,1.464,0.0,25447.0,2094
82,0.998,0.998,1.461,1.464,0.0,25447.0,2094
83,0.998,0.998,1.461,1.464,0.0,25447.0,2094
84,0.998,0.998,1.461,1.464,0.0,25447.0,2094
85,0.998,0.998,1.461,1.464,0.0,25447.0,2094
86,0.998,0.998,1.461,1.464,0.0,25447.0,2094
87,0.997,0.997,1.461,1.465,0.0,25447.0,2094
88,0.997,0.997,1.525,1.465,0.0004,25447.0,2094
89,0.997,0.997,1.462,1.464,0.0001,25447.0,2094
90,0.998,0.998,1.461,1.463,0.0,25447.0,2094
91,0.998,0.998,1.461,1.463,0.0,25447.0,2094
92,0.998,0.998,1.461,1.463,0.0,25447.0,2094
93,0.998,0.998,1.461,1.463,0.0,25447.0,2094
94,0.998,0.998,1.461,1.463,0.0,25447.0,2094
95,0.998,0.998,1.461,1.463,0.0,25447.0,2094
96,0.998,0.998,1.461,1.463,0.0,25447.0,2094
97,0.998,0.998,1.461,1.463,0.0,25447.0,2094
98,0.998,0.998,1.461,1.463,0.0,25447.0,2094
99,0.998,0.998,1.461,1.463,0.0,25447.0,2094
